path,line,kind,owner,name,type,modifiers,scope
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","PARAMETER","AccountEvent(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","accountId","java.lang.String","[]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","PARAMETER","AccountEvent(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","nickname","java.lang.String","[]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","PARAMETER","AccountEvent(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","uid","long","[]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","PARAMETER","AccountEvent(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","registered","boolean","[]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.api.AccountEvent","player","net.minecraft.server.level.ServerPlayer","[private, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.api.AccountEvent","accountId","java.lang.String","[private, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.api.AccountEvent","nickname","java.lang.String","[private, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.api.AccountEvent","uid","long","[private, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.api.AccountEvent","registered","boolean","[private, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/BattleEndedEvent.java","6","RECORD","xiaocaoawa.minecraft.mod.cobblebattle.api","BattleEndedEvent","xiaocaoawa.minecraft.mod.cobblebattle.api.BattleEndedEvent","[public, final]","兼容接口待审查"
